agency_name,unique_id,user_code,post_url,post_topic,comment_text,comment_timestamp,sentiment_label,year
DOH,id_1,user_1,http://facebook.com/post/1,Public Health,the new health programs are a huge help to our community.,2025-08-27 17:14:04.080761,Neutral,2025
DSWD,id_2,user_2,http://facebook.com/post/2,Social Welfare,the financial aid from dswd was distributed efficiently.,2025-08-29 17:14:04.080761,Negative,2025
DPWH,id_3,user_3,http://facebook.com/post/3,Infrastructure,road repairs are taking too long and are causing traffic.,2025-09-01 17:14:04.080761,Negative,2025
DOLE,id_4,user_4,http://facebook.com/post/4,Employment,job fairs organized by dole led me to a great opportunity.,2025-09-04 17:14:04.080761,Neutral,2025
DOH,id_5,user_5,http://facebook.com/post/5,Health Services,long lines and disorganized service at the health center.,2025-09-06 17:14:04.080761,Neutral,2025
DSWD,id_6,user_6,http://facebook.com/post/6,Disaster Relief,thank you for the quick response during the recent typhoon.,2025-09-08 17:14:04.080761,Neutral,2025
DPWH,id_7,user_7,http://facebook.com/post/7,Construction,the infrastructure project looks sturdy and well-built.,2025-09-10 17:14:04.080761,Neutral,2025
DOLE,id_8,user_8,http://facebook.com/post/8,Labor Laws,"i have been waiting for my permit for weeks, with no update.",2025-09-11 17:14:04.080761,Negative,2025
DOH,id_9,user_9,http://facebook.com/post/9,Vaccination,the vaccination drive was very smooth and well-managed.,2025-09-12 17:14:04.080761,Negative,2025
DSWD,id_10,user_10,http://facebook.com/post/10,Aid Distribution,the aid was a lifesaver for my family.,2025-09-13 17:14:04.080761,Neutral,2025
DPWH,id_11,user_11,http://facebook.com/post/11,Road Projects,another road project that has stalled for months.,2025-09-14 17:14:04.080761,Negative,2025
DOLE,id_12,user_12,http://facebook.com/post/12,Job Assistance,dole has been very helpful in providing assistance.,2025-09-15 17:14:04.080761,Neutral,2025
DOH,id_13,user_13,http://facebook.com/post/13,Disease Control,i am very concerned about the rising dengue cases.,2025-09-16 07:14:04.080761,Negative,2025
DSWD,id_14,user_14,http://facebook.com/post/14,Community Support,i am grateful for the support services provided.,2025-09-16 12:14:04.080761,Neutral,2025
DPWH,id_15,user_15,http://facebook.com/post/15,Bridge Construction,the newly built bridge has significantly cut down travel time.,2025-09-16 14:14:04.080761,Negative,2025
DSWD,id_16,user_16,http://facebook.com/post/16,Office Location,the dswd office is located at city hall.,2025-09-16 16:24:04.080761,Negative,2025
DOH,id_17,user_17,http://facebook.com/post/17,New Directives,the new doh directive was published today.,2025-09-16 16:44:04.080761,Negative,2025
DPWH,id_18,user_18,http://facebook.com/post/18,Project Timelines,construction on the highway is expected to finish next year.,2025-09-16 16:54:04.080761,Negative,2025
DOLE,id_19,user_19,http://facebook.com/post/19,Policy Explanation,the dole representative explained the new policy.,2025-09-16 17:04:04.080761,Negative,2025
DOLE,CMT001,U0001,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,hi dole gusto ko lng po sana itanung inyo wlaa na ba kayo ibang na resolution sa pag angat ng mahirap na kababyan pilipino? puro lng kayo cash aid bakit d kayo mag provide ng trabaho at tangglin niyo po ang provicial rate ?,2022-01-26 15:02:00,2022.0,Positive
DOLE,CMT002,U0002,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,"hello po ,gudafternun po tanong ko po sana kung pwude pong magreklamo anak ko na makuha ng separation pay ,kasi tinanggal po sya sa wrk nia sa gasoline station nagkamali po sya ng konti binayaran nmn po nia yun,, po yun , po yung half day wrk nia tas di nila alam n yung tax nila daily  tama po b yun n malaki yung tax nila,pwude po kya sila magreklamo saseration nila eh mahigit  n po sya sa gasoline station n yun eh hindi p po sya regular dun tnx god bless po sa inyong lahat dyan sa dole",2022-03-18 14:29:00,2022.0,Negative
DOLE,CMT003,U0003,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,pano po yung ofw wala parin ako makuha work dito sana makakuha din cash assistance,2022-01-28 07:37:00,2022.0,Negative
DOLE,CMT004,U0004,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,"what if n covid nkpg file n s sss n inackso ng agency, then months ago nkpgresign mkukuha k p rin po b ung ssscovid ko. ibbigay p rin po n un ng agency. slmt po s ssgot",2022-01-28 10:30:00,2022.0,Negative
DOLE,CMT005,U0005,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,"need help po, paano po pg hinde binigay ung sss covid ko n nfile k s ng agency, last october  p po kc hanggang ngayon wala p rin",2022-01-28 10:28:00,2022.0,Negative
